AIRCRAFT,PHASE_OF_FLIGHT,SPECIES,TIME_OF_DAY,HEIGHT,DAMAGE_SEVERITY
UNKNOWN,Landing Roll,Horned lark,UNKNOWN,0,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Common grackle,UNKNOWN,-1,0
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,Approach,Swamp sparrow,UNKNOWN,500,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Take-off run,Scaly-breasted munia,UNKNOWN,0,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,European starling,UNKNOWN,20,0
UNKNOWN,Climb,Bank swallow,UNKNOWN,200,0
UNKNOWN,Approach,Red-tailed hawk,UNKNOWN,-1,0
UNKNOWN,Take-off run,Barn swallow,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,En Route,Unknown bird - medium,UNKNOWN,3000,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,2800,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,1700,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Descent,White-crowned sparrow,UNKNOWN,8000,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,500,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Approach,Snow bunting,UNKNOWN,50,0
UNKNOWN,nan,Red-throated loon,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - medium,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,300,0
UNKNOWN,En Route,Unknown bird - small,UNKNOWN,1000,0
UNKNOWN,Approach,Common nighthawk,UNKNOWN,75,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Approach,European starling,UNKNOWN,200,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1500,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,75,0
UNKNOWN,En Route,Unknown bird - small,UNKNOWN,1500,0
UNKNOWN,nan,Tree swallow,UNKNOWN,-1,0
UNKNOWN,Approach,Killdeer,UNKNOWN,60,0
UNKNOWN,Approach,Mourning dove,UNKNOWN,50,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,2000,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Climb,Red-tailed hawk,UNKNOWN,75,0
UNKNOWN,Approach,Bobolink,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,300,0
UNKNOWN,Approach,Eastern meadowlark,UNKNOWN,10,0
UNKNOWN,Take-off run,Unknown bird,UNKNOWN,0,0
UNKNOWN,Approach,White-tailed deer,UNKNOWN,-1,2
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,3000,0
UNKNOWN,Approach,Sparrows,UNKNOWN,10,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Doves,UNKNOWN,-1,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,Climb,American goldfinch,UNKNOWN,3000,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,4000,0
UNKNOWN,nan,Pacific golden-plover,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,600,0
UNKNOWN,Departure,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Climb,Horned lark,UNKNOWN,5,0
UNKNOWN,Approach,Wilson's snipe,UNKNOWN,5500,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,Take-off run,White-tailed kite,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,2000,0
UNKNOWN,Climb,Canada goose,UNKNOWN,2,1
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,500,0
UNKNOWN,Landing Roll,Franklin's gull,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,400,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Herring gull,UNKNOWN,-1,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Take-off run,Rock pigeon,UNKNOWN,0,0
UNKNOWN,Landing Roll,Killdeer,UNKNOWN,0,0
UNKNOWN,Landing Roll,Eastern meadowlark,UNKNOWN,0,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Cooper's hawk,UNKNOWN,-1,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,nan,Snow bunting,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,Approach,European starling,UNKNOWN,40,1
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Microbats,UNKNOWN,1000,0
UNKNOWN,Take-off run,Unknown bird,UNKNOWN,0,0
UNKNOWN,nan,Microbats,UNKNOWN,-1,0
UNKNOWN,nan,Burrowing owl,UNKNOWN,-1,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Approach,Killdeer,UNKNOWN,150,0
UNKNOWN,Climb,Meadowlarks,UNKNOWN,100,0
UNKNOWN,Departure,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Cliff swallow,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,1500,0
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,nan,Coyote,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Herring gull,UNKNOWN,-1,2
UNKNOWN,Approach,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Brazilian free-tailed bat,UNKNOWN,-1,0
UNKNOWN,nan,Ring-billed gull,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,nan,Western meadowlark,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Western meadowlark,UNKNOWN,0,0
UNKNOWN,nan,Ring-billed gull,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,nan,Ring-billed gull,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,5000,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,4700,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Yellow-crowned night-heron,UNKNOWN,0,0
UNKNOWN,Descent,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Least tern,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Cliff swallow,UNKNOWN,0,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Short-eared owl,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,500,0
UNKNOWN,Departure,Unknown bird or bat,UNKNOWN,-1,0
UNKNOWN,nan,Hawks,UNKNOWN,-1,0
UNKNOWN,Approach,Doves,UNKNOWN,200,0
UNKNOWN,nan,Meadowlarks,UNKNOWN,-1,0
UNKNOWN,nan,Short-eared owl,UNKNOWN,-1,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Merlin,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Take-off run,Eastern meadowlark,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,House finch,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - medium,UNKNOWN,400,1
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,700,0
UNKNOWN,Approach,Gulls,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,700,0
UNKNOWN,Approach,Gulls,UNKNOWN,20,0
UNKNOWN,nan,Common nighthawk,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,10,0
UNKNOWN,Take-off run,European starling,UNKNOWN,0,0
UNKNOWN,nan,Sparrows,UNKNOWN,-1,0
UNKNOWN,Approach,Mourning dove,UNKNOWN,50,0
UNKNOWN,Landing Roll,Sparrows,UNKNOWN,0,0
UNKNOWN,nan,"Sandpipers, curlews, phalaropes, allies",UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,5000,0
UNKNOWN,nan,California gull,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,200,0
UNKNOWN,Take-off run,Sparrows,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - large,UNKNOWN,-1,0
UNKNOWN,Take-off run,Rock pigeon,UNKNOWN,0,0
UNKNOWN,Approach,Yellow-rumped warbler,UNKNOWN,1500,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,Take-off run,Barn swallow,UNKNOWN,0,0
UNKNOWN,Approach,Magnolia warbler,UNKNOWN,400,0
UNKNOWN,Approach,Gray-crowned Rosy-Finch,UNKNOWN,-1,0
UNKNOWN,Take-off run,Black-crowned night-heron,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,400,0
UNKNOWN,Landing Roll,Snowy owl,UNKNOWN,0,0
UNKNOWN,Approach,Dark-eyed junco,UNKNOWN,-1,0
UNKNOWN,nan,California gull,UNKNOWN,-1,0
UNKNOWN,nan,Common nighthawk,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Swallows,UNKNOWN,0,0
UNKNOWN,En Route,Sooty tern,UNKNOWN,1100,1
UNKNOWN,nan,Silver-haired bat,UNKNOWN,-1,0
UNKNOWN,Arrival,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Ring-billed gull,UNKNOWN,-1,0
UNKNOWN,nan,Striped skunk,UNKNOWN,-1,0
UNKNOWN,Approach,Mallard,UNKNOWN,100,0
UNKNOWN,nan,American woodcock,UNKNOWN,-1,0
UNKNOWN,nan,Yellow-bellied sapsucker,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,20,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,200,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - medium,UNKNOWN,-1,0
UNKNOWN,nan,Western kingbird,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,1700,0
UNKNOWN,nan,Rock pigeon,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Fox sparrow,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,2000,0
UNKNOWN,Climb,Mountain bluebird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,20,0
UNKNOWN,Landing Roll,Cliff swallow,UNKNOWN,0,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Barn owl,UNKNOWN,0,0
UNKNOWN,Approach,Mourning dove,UNKNOWN,60,0
UNKNOWN,Approach,American robin,UNKNOWN,3600,0
UNKNOWN,Approach,Laughing gull,UNKNOWN,400,0
UNKNOWN,Take-off run,Barn swallow,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Yellow-bellied sapsucker,UNKNOWN,-1,0
UNKNOWN,Approach,Ring-billed gull,UNKNOWN,100,0
UNKNOWN,Climb,Unknown bird - medium,UNKNOWN,5200,0
UNKNOWN,nan,American coot,UNKNOWN,-1,0
UNKNOWN,nan,Savannah sparrow,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Purple martin,UNKNOWN,50,0
UNKNOWN,Take-off run,Horned lark,UNKNOWN,0,0
UNKNOWN,Approach,Ring-billed gull,UNKNOWN,15,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Landing Roll,Wilson's snipe,UNKNOWN,0,0
UNKNOWN,Take-off run,Mourning dove,UNKNOWN,0,0
UNKNOWN,Departure,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,100,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Sparrows,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Cliff swallow,UNKNOWN,-1,0
UNKNOWN,nan,Hoary bat,UNKNOWN,-1,0
UNKNOWN,Take-off run,Snowy owl,UNKNOWN,0,0
UNKNOWN,Approach,Greater white-fronted goose,UNKNOWN,1900,0
UNKNOWN,Approach,New World Vultures,UNKNOWN,1000,0
UNKNOWN,nan,Black-bellied plover,UNKNOWN,-1,0
UNKNOWN,nan,Pacific golden-plover,UNKNOWN,-1,0
UNKNOWN,Take-off run,Sparrows,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,2700,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1300,0
UNKNOWN,Take-off run,Tree swallow,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Climb,American kestrel,UNKNOWN,100,0
UNKNOWN,Take-off run,European starling,UNKNOWN,0,0
UNKNOWN,Take-off run,Barn owl,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,1800,0
UNKNOWN,nan,Cliff swallow,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - medium,UNKNOWN,-1,0
UNKNOWN,Climb,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Herring gull,UNKNOWN,500,0
UNKNOWN,Descent,Unknown bird - medium,UNKNOWN,10300,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,APPROACH,Unknown bird,UNKNOWN,800,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Approach,Gulls,UNKNOWN,400,0
UNKNOWN,Approach,Sparrows,UNKNOWN,2300,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,5,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,2500,1
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,10,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,200,0
UNKNOWN,nan,Sparrows,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,50,0
UNKNOWN,nan,Ring-billed gull,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Killdeer,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird - medium,UNKNOWN,300,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Take-off run,"Sandpipers, curlews, phalaropes, allies",UNKNOWN,0,0
UNKNOWN,Approach,Tree swallow,UNKNOWN,100,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,400,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,800,0
UNKNOWN,nan,Herring gull,UNKNOWN,-1,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,Approach,Veery,UNKNOWN,4000,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,Approach,Cedar waxwing,UNKNOWN,1000,0
UNKNOWN,Climb,American robin,UNKNOWN,3000,1
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,250,1
UNKNOWN,nan,Cliff swallow,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird - medium,UNKNOWN,0,0
UNKNOWN,Approach,Evening bat,UNKNOWN,200,0
UNKNOWN,Approach,Hawks,UNKNOWN,6000,0
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,Approach,Swallows,UNKNOWN,20,0
UNKNOWN,Landing Roll,Short-eared owl,UNKNOWN,0,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Western kingbird,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,1200,0
UNKNOWN,Take-off run,Horned lark,UNKNOWN,0,0
UNKNOWN,Descent,Unknown bird,UNKNOWN,10000,0
UNKNOWN,nan,Baird's sandpiper,UNKNOWN,-1,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Herring gull,UNKNOWN,-1,0
UNKNOWN,Approach,American coot,UNKNOWN,2300,0
UNKNOWN,Take-off run,American kestrel,UNKNOWN,0,0
UNKNOWN,nan,American golden-plover,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Scaly-breasted munia,UNKNOWN,0,0
UNKNOWN,Take-off run,Barn swallow,UNKNOWN,0,0
UNKNOWN,Local,Common nighthawk,UNKNOWN,-1,0
UNKNOWN,Take-off run,Rock pigeon,UNKNOWN,0,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Sparrows,UNKNOWN,-1,0
UNKNOWN,nan,Lincoln's sparrow,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Blackpoll warbler,UNKNOWN,-1,0
UNKNOWN,Approach,Savannah sparrow,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Approach,Brazilian free-tailed bat,UNKNOWN,200,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,6000,0
UNKNOWN,nan,Sanderling,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,1100,0
UNKNOWN,Take-off run,European starling,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,20,0
UNKNOWN,Approach,Northern pintail,UNKNOWN,400,1
UNKNOWN,Landing Roll,Killdeer,UNKNOWN,0,0
UNKNOWN,Take-off run,Sparrows,UNKNOWN,0,0
UNKNOWN,Climb,Western meadowlark,UNKNOWN,20,0
UNKNOWN,Approach,Unknown bird - large,UNKNOWN,4000,0
UNKNOWN,Approach,Short-billed dowitcher,UNKNOWN,-1,0
UNKNOWN,Take-off run,Killdeer,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,3200,0
UNKNOWN,Descent,American robin,UNKNOWN,4000,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1700,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,200,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,10,0
UNKNOWN,Take-off run,Cliff swallow,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,DEPARTURE,Bald eagle,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Ducks,UNKNOWN,0,2
UNKNOWN,nan,Yellow bittern,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,200,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,30,0
UNKNOWN,Climb,Unknown bird - medium,UNKNOWN,5,0
UNKNOWN,Landing Roll,Killdeer,UNKNOWN,0,0
UNKNOWN,Approach,Barn swallow,UNKNOWN,50,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,300,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,10000,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,800,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Climb,Mourning dove,UNKNOWN,10,0
UNKNOWN,Climb,Black vulture,UNKNOWN,2000,2
UNKNOWN,APPROACH,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Black-tailed jackrabbit,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Chimney swift,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird - medium,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,200,0
UNKNOWN,Approach,Chimney swift,UNKNOWN,500,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,nan,Field sparrow,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - medium,UNKNOWN,-1,0
UNKNOWN,LANDING ROLL,Unknown bird,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Western meadowlark,UNKNOWN,0,0
UNKNOWN,Landing Roll,Mourning dove,UNKNOWN,0,0
UNKNOWN,Landing Roll,Unknown bird - medium,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Coypu (nutria),UNKNOWN,-1,0
UNKNOWN,Approach,Barn swallow,UNKNOWN,10,0
UNKNOWN,Descent,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,100,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1000,0
UNKNOWN,Landing Roll,Meadowlarks,UNKNOWN,0,0
UNKNOWN,Landing Roll,Horned lark,UNKNOWN,0,0
UNKNOWN,nan,Tree swallow,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,100,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Yellow-rumped warbler,UNKNOWN,100,0
UNKNOWN,Approach,Chimney swift,UNKNOWN,800,0
UNKNOWN,Approach,Canada goose,UNKNOWN,2,0
UNKNOWN,nan,Savannah sparrow,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,700,0
UNKNOWN,nan,Red-winged blackbird,UNKNOWN,-1,0
UNKNOWN,Climb,Turkey vulture,UNKNOWN,600,0
UNKNOWN,Approach,Great blue heron,UNKNOWN,150,2
UNKNOWN,Climb,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Geese,UNKNOWN,2400,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,10,0
UNKNOWN,nan,Ring-necked pheasant,UNKNOWN,-1,0
UNKNOWN,DEPARTURE,Unknown bird - large,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,2700,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Approach,Mourning dove,UNKNOWN,10,0
UNKNOWN,Approach,Turkey vulture,UNKNOWN,-1,1
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,200,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,nan,Perching birds (y),UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Barn owl,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - medium,UNKNOWN,50,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Landing Roll,Dunlin,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1000,0
UNKNOWN,Descent,Unknown bird - small,UNKNOWN,8000,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,4300,0
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,En Route,Unknown bird - large,UNKNOWN,1800,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,Climb,Hawks,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,4000,0
UNKNOWN,Descent,Unknown bird - medium,UNKNOWN,10000,0
UNKNOWN,Approach,Ducks,UNKNOWN,500,0
